OrderID,OrderDate,CustomerID,CustomerName,Email,ProductID,ProductName,Category,Brand,Quantity,UnitPrice,TotalAmount,PaymentMethod,OrderStatus,City,State,Country
ORD0107365,2023-01-02,CUST01347,Suresh Shah,customer1347@email.com,P6930,Wireless Earbuds,Electronics,SoundMax,1,1723.65,1723.65,UPI,Delivered,Hubli,Karnataka,India
ORD0100901,2023-01-02,CUST00156,Manish Kumar,customer156@email.com,P6426,Travel Guide,Books,ReadMore,3,643.09,1929.27,Debit Card,Delivered,Howrah,West Bengal,India
ORD0108662,2023-01-02,CUST01591,Anika Malhotra,customer1591@email.com,P1352,Dumbbells Set,Sports & Outdoors,FitLife,2,2168.09,4336.18,Credit Card,Returned,Kanpur,Uttar Pradesh,India
ORD0108908,2023-01-02,CUST01642,Anita Verma,customer1642@email.com,P7681,Poetry Collection,Books,ReadMore,1,437.42,437.42,Cash on Delivery,Delivered,Delhi,Delhi,India
ORD0106391,2023-01-02,CUST01174,Priya Iyer,customer1174@email.com,P9185,Fiction Novel,Books,BookWorld,1,463.09,463.09,Credit Card,Delivered,Kolkata,West Bengal,India
ORD0106391,2023-01-02,CUST01174,Priya Iyer,customer1174@email.com,P3435,Denim Jeans,Clothing,UrbanStyle,3,2271.82,6815.46,Debit Card,Delivered,Kolkata,West Bengal,India
ORD0106391,2023-01-02,CUST01174,Priya Iyer,customer1174@email.com,P2789,Football,Sports & Outdoors,SportPro,1,697.98,697.98,Cash on Delivery,Delivered,Kolkata,West Bengal,India
ORD0109691,2023-01-02,CUST01783,Atharv Yadav,customer1783@email.com,P4684,Academic Textbook,Books,EduBooks,1,1599.52,1599.52,Wallet,Delivered,New Delhi,Delhi,India
ORD0109691,2023-01-02,CUST01783,Atharv Yadav,customer1783@email.com,P3404,Self Help Book,Books,BookWorld,1,331.32,331.32,Wallet,Delivered,New Delhi,Delhi,India
ORD0109691,2023-01-02,CUST01783,Atharv Yadav,customer1783@email.com,P4541,Laptop,Electronics,CompuTech,1,58434.06,58434.06,Net Banking,Delivered,New Delhi,Delhi,India
ORD0109691,2023-01-02,CUST01783,Atharv Yadav,customer1783@email.com,P2474,Jacket,Clothing,UrbanStyle,1,4690.39,4690.39,Debit Card,Returned,New Delhi,Delhi,India
ORD0108908,2023-01-02,CUST01642,Anita Verma,customer1642@email.com,P4244,Tennis Racket,Sports & Outdoors,SportPro,2,1777.38,3554.76,Wallet,Delivered,Delhi,Delhi,India
ORD0110359,2023-01-02,CUST01913,Navya Singh,customer1913@email.com,P7032,Running Shoes,Sports & Outdoors,FitLife,1,7930.14,7930.14,Credit Card,Returned,Thiruvananthapuram,Kerala,India
ORD0110359,2023-01-02,CUST01913,Navya Singh,customer1913@email.com,P9059,Cricket Bat,Sports & Outdoors,SportPro,1,3626.99,3626.99,UPI,Returned,Thiruvananthapuram,Kerala,India
ORD0110359,2023-01-02,CUST01913,Navya Singh,customer1913@email.com,P7456,Webcam Full HD,Electronics,VisionTech,1,4089.06,4089.06,Debit Card,Delivered,Thiruvananthapuram,Kerala,India
ORD0108908,2023-01-02,CUST01642,Anita Verma,customer1642@email.com,P5494,Soft Toy,Toys & Games,KiddoFun,1,796.56,796.56,UPI,Returned,Delhi,Delhi,India
ORD0100901,2023-01-02,CUST00156,Manish Kumar,customer156@email.com,P3523,Card Game,Toys & Games,PlayMore,2,337.7,675.4,Net Banking,Delivered,Howrah,West Bengal,India
ORD0111466,2023-01-02,CUST02124,Pooja Mehta,customer2124@email.com,P9159,Beard Trimmer,Beauty & Personal Care,GroomMaster,1,2200.68,2200.68,Credit Card,Delivered,Vadodara,Gujarat,India
ORD0100901,2023-01-02,CUST00156,Manish Kumar,customer156@email.com,P1932,Action Figure,Toys & Games,PlayMore,1,333.37,333.37,Net Banking,Delivered,Howrah,West Bengal,India
ORD0112236,2023-01-02,CUST02273,Sanjay Bhatt,customer2273@email.com,P6944,Jacket,Clothing,UrbanStyle,1,4175.68,4175.68,Credit Card,Cancelled,Faridabad,Haryana,India
ORD0107270,2023-01-02,CUST01328,Ananya Gupta,customer1328@email.com,P3515,Card Game,Toys & Games,PlayMore,1,400.93,400.93,Cash on Delivery,Delivered,Pune,Maharashtra,India
ORD0112236,2023-01-02,CUST02273,Sanjay Bhatt,customer2273@email.com,P4339,Card Game,Toys & Games,PlayMore,1,590.75,472.6,Wallet,Delivered,Faridabad,Haryana,India
ORD0108662,2023-01-02,CUST01591,Anika Malhotra,customer1591@email.com,P2534,Educational Toy,Toys & Games,KiddoFun,1,1687.44,1687.44,Credit Card,Delivered,Kanpur,Uttar Pradesh,India
ORD0100901,2023-01-02,CUST00156,Manish Kumar,customer156@email.com,P8883,Formal Shirt,Clothing,ClassicWear,1,2859.74,2859.74,Wallet,Delivered,Howrah,West Bengal,India
ORD0110576,2023-01-02,CUST01957,Amit Khan,customer1957@email.com,P1980,Dumbbells Set,Sports & Outdoors,FitLife,1,5116.47,5116.47,Cash on Delivery,Cancelled,Delhi,Delhi,India
ORD0108662,2023-01-02,CUST01591,Anika Malhotra,customer1591@email.com,P9182,Headphones,Electronics,SoundMax,1,11474.9,11474.9,Wallet,Delivered,Kanpur,Uttar Pradesh,India
ORD0101635,2023-01-03,CUST00298,Ananya Khan,customer298@email.com,P1055,Yoga Mat,Sports & Outdoors,FitLife,1,1927.15,1927.15,Cash on Delivery,Delivered,Salem,Tamil Nadu,India
ORD0101635,2023-01-03,CUST00298,Ananya Khan,customer298@email.com,P4920,Poetry Collection,Books,ReadMore,1,531.4,531.4,Cash on Delivery,Delivered,Salem,Tamil Nadu,India
ORD0105606,2023-01-03,CUST01018,Myra Reddy,customer1018@email.com,P1295,Bedsheet Set,Home & Kitchen,CozyHome,3,691.15,2073.45,Cash on Delivery,Delivered,Warangal,Telangana,India
ORD0101635,2023-01-03,CUST00298,Ananya Khan,customer298@email.com,P2474,Gym Bag,Sports & Outdoors,FitLife,1,1903.5,1903.5,UPI,Delivered,Salem,Tamil Nadu,India
ORD0112451,2023-01-03,CUST02302,Suresh Menon,customer2302@email.com,P2396,Beard Trimmer,Beauty & Personal Care,GroomMaster,1,3451.28,3451.28,Wallet,Delivered,Gurgaon,Haryana,India
ORD0101635,2023-01-03,CUST00298,Ananya Khan,customer298@email.com,P1043,Webcam Full HD,Electronics,VisionTech,1,4790.77,4790.77,UPI,Delivered,Salem,Tamil Nadu,India
ORD0107681,2023-01-03,CUST01406,Kavita Mishra,customer1406@email.com,P8890,Water Bottle,Home & Kitchen,HomeEssence,1,1419.63,1419.63,UPI,Delivered,Agra,Uttar Pradesh,India
ORD0107681,2023-01-03,CUST01406,Kavita Mishra,customer1406@email.com,P9530,Cookbook,Books,BookWorld,1,749.84,749.84,Wallet,Delivered,Agra,Uttar Pradesh,India
ORD0101635,2023-01-03,CUST00298,Ananya Khan,customer298@email.com,P5779,Biography,Books,ReadMore,2,818.87,1637.74,Wallet,Returned,Salem,Tamil Nadu,India
ORD0107505,2023-01-03,CUST01377,Reyansh Kumar,customer1377@email.com,P9654,Face Wash,Beauty & Personal Care,GlowSkin,1,495.47,495.47,Cash on Delivery,Cancelled,Lucknow,Uttar Pradesh,India
ORD0100702,2023-01-03,CUST00123,Rajesh Joshi,customer123@email.com,P7358,Cotton T-Shirt,Clothing,UrbanStyle,1,604.76,604.76,Credit Card,Delivered,Mumbai,Maharashtra,India
ORD0112451,2023-01-03,CUST02302,Suresh Menon,customer2302@email.com,P3547,Cookbook,Books,BookWorld,1,866.21,736.28,Net Banking,Delivered,Gurgaon,Haryana,India
ORD0112451,2023-01-03,CUST02302,Suresh Menon,customer2302@email.com,P2889,Yoga Mat,Sports & Outdoors,FitLife,1,986.38,986.38,Cash on Delivery,Returned,Gurgaon,Haryana,India
ORD0112451,2023-01-03,CUST02302,Suresh Menon,customer2302@email.com,P2084,Kurta Set,Clothing,EthnicCharm,1,1788.52,1788.52,UPI,Delivered,Gurgaon,Haryana,India
